ID,COORDS_X,COORDS_Y,AGE,BATHROOMS,HOUSESIZE,LOTSIZE,NEWHOME,POSTFIRM,DFLOOD100,DFLOOD500,FIRSTROW,PROXAMEN,DISTAMEN,DISTCBD,DISTHWY,DISTPARK,PRICE
6056,2708367.84003445,358841.704103456,66,2,1442,0.218,1,0,0,0,0,7710.493,736.128,21663.144,4459.248,8542.187,155500
6057,2709647.59063784,358835.883837499,14,2.5,2106,0.263,1,1,0,0,0,7658.127,788.494,22937.501,5087.849,9146.025,335500
6059,2704067.35601777,358883.72348949,29,2,1178,0.97,1,1,0,0,0,8107.446,339.175,17375.569,4134.974,7396.89,136000
6060,2707609.64724669,358705.213688545,43,1.5,1420,0.512,1,0,0,0,0,7974.72,471.901,20917.653,4376.995,8079.647,154600
6061,2704083.85785656,358879.929064086,29,2,1380,0.97,1,1,0,1,0,8106.819,339.802,17392.374,4148.485,7393.994,155500
6062,2703407.58774891,358849.954411106,94,2,1992,0.284,1,0,1,0,1,8321.782,124.839,16724.236,3776.393,7338.882,465300
6065,2707073.7899187,358813.89794062,62,2,1636,0.328,1,0,0,0,0,8039.02,407.601,20372.918,4202.18,7961.293,198700
6066,2703439.3847808,358838.436288381,74,1.5,1883,0.297,0,0,1,0,1,8321.936,124.685,16755.978,3800.876,7329.956,382700
6067,2707404.1614185,358718.780916492,57,2.5,3035,0.598,1,0,0,0,0,8012.771,433.85,20712.349,4327.805,8007.246,768100
6068,2707479.83594295,358709.967340759,57,2,2311,0.599,1,0,0,0,0,7995.296,451.325,20788.567,4347.776,8030.847,375800
6070,2707330.32119982,358722.650622703,3,2.5,3023,0.572,1,1,0,0,0,8033.419,413.202,20638.302,4313.267,7981.346,944400
6071,2704683.85574539,358784.872945311,15,5,3598,0.255,1,1,1,0,0,8134.584,312.037,17991.687,4614.644,7363.532,1466200
6072,2705589.2048981,358793.258836179,54,2,2941,0.416,1,0,0,0,0,8134.219,312.402,18899.331,4344.51,7510.403,702800
6073,2705502.12779874,358787.11643831,48,2.5,2750,0.431,1,0,0,0,0,8138.523,308.098,18812.115,4372.012,7488.007,607700
6074,2707550.97756993,358696.113769268,51,1,992,0.568,1,0,0,0,0,7995.82,450.801,20860.826,4375.649,8046.124,97700
6075,2704729.54797434,358787.242177388,50,2,1824,0.116,1,0,1,0,0,8138.859,307.762,18044.136,4643.859,7366.167,224200
6076,2711747.91372993,358548.159954466,40,0.5,2400,4.97,1,0,0,0,0,7443.796,1002.825,25040.551,6704.957,9860.265,387900
6078,2704776.54231498,358779.892190633,58,2,1040,0.227,0,0,1,0,0,8144.866,301.755,18090.274,4630.078,7366.488,112000
6081,2705211.2893613,358778.923306345,94,1,1485,0.188,1,0,0,0,0,8147.504,299.117,18524.422,4468.793,7426.307,190400
6082,2705312.42889631,358782.736345212,54,2,2081,0.166,0,0,0,0,0,8142.759,303.862,18624.512,4431.615,7448.173,329300
