ID1,COORDS_X,COORDS_Y,AGE_1,BATHROOM_1,BEDROOMS,TOT_SQ_F_1,TOTAL_AC_1,NEWHOME_1,POSTFIRM_1,DFLOOD_A_1,DFLOOD_X_1,FIRSTROW_1,PROXAMEN_1,DISTAMEN_1,DISTCBD1_1,DISTHWY_1,DISTPARK_1,PRICE
3944.0,2710955.7109115073,363197.88156387955,28.0,3.5,4.0,2662.0,4.95,1.0,1.0,1.0,0.0,1,8190.94,255.681,24374.923,3725.731,13593.9,896500.0
3945.0,2708079.299414618,363613.36654946493,34.0,1.0,0.0,1200.0,0.97,1.0,0.0,0.0,1.0,0,6542.025999999999,1904.595,21492.454,1314.929,12829.796,100400.0
3947.0,2711982.4829443293,363449.3557025,7.0,2.0,3.0,3073.0,0.671,1.0,1.0,1.0,0.0,1,8288.518999999998,158.102,25327.72,3763.493,14305.993,1301400.0
3949.0,2709107.292021432,363559.3885541378,5.0,2.5,3.0,1874.0,0.321,0.0,1.0,0.0,1.0,0,7338.012999999999,1108.608,22502.19,2332.356,13132.869,277600.0
3951.0,2708059.751994057,363596.14556406555,34.0,1.0,0.0,1982.0,0.97,1.0,0.0,0.0,1.0,0,6535.2519999999995,1911.369,21474.311,1297.013,12811.025,213500.0
3953.0,2708529.940167815,363563.30204783316,15.0,2.0,3.0,1192.0,0.35,1.0,1.0,0.0,1.0,0,6942.343999999999,1504.277,21932.79,1759.548,12933.412,117300.0
3955.0,2709212.5420951396,363541.20812830894,5.0,2.0,3.0,1384.0,0.257,0.0,1.0,0.0,1.0,0,7407.895999999999,1038.725,22608.988,2440.578,13159.325,169000.0
3956.0,2711903.5424010702,363336.2199527306,15.0,2.0,3.0,1568.0,0.668,1.0,1.0,1.0,0.0,1,8309.743999999999,136.877,25256.412,3794.049,14217.185,297300.0
3957.0,2711819.664733068,363309.0624496988,16.0,2.0,2.0,1613.0,0.86,0.0,1.0,1.0,0.0,1,8276.853,169.768,25171.045,3788.181,14150.665,321600.0
3962.0,2708917.4808369433,363532.98813663033,4.0,2.5,3.0,1782.0,0.232,1.0,1.0,0.0,1.0,0,7248.954,1197.667,22317.664,2148.279,13041.021,239100.0
3963.0,2703330.9791627903,363527.021437799,18.0,2.0,3.0,1152.0,0.162,1.0,1.0,1.0,0.0,0,7736.851999999999,709.769,16783.724,2412.19,11424.523,117300.0
3965.0,2703518.429563765,363506.92611451435,18.0,1.73,0.0,2140.0,0.427,1.0,1.0,1.0,0.0,0,7567.436,879.185,16964.442,2550.684,11499.005,294300.0
3966.0,2711411.4726390764,363497.08881340164,10.0,2.5,3.0,2610.0,0.674,0.0,1.0,1.0,0.0,0,7930.466999999999,516.154,24798.452,3506.752,14082.014,578600.0
3967.0,2703695.4392547766,363489.08431426727,20.0,1.0,0.0,1280.0,0.856,1.0,1.0,1.0,0.0,0,7408.386999999999,1038.234,17133.609,2683.966,11567.582,119400.0
3968.0,2709329.066029886,363521.35629824887,5.0,2.5,3.0,1782.0,0.247,0.0,1.0,0.0,0.0,0,7482.919999999999,963.701,22728.654,2562.439,13184.804,274000.0
3969.0,2710711.838591498,363461.8171687811,6.0,2.0,3.0,2558.0,0.592,1.0,1.0,1.0,0.0,0,7774.375999999999,672.245,24084.886,3362.077,13713.026,506000.0
3970.0,2703890.86297095,363453.5573875134,44.0,2.0,4.0,1512.0,0.507,1.0,0.0,1.0,0.0,0,7233.057999999999,1213.563,17321.85,2762.341,11639.351,145800.0
3971.0,2703980.083909417,363413.931552346,54.0,1.0,4.0,1512.0,0.651,1.0,0.0,1.0,0.0,0,7154.986999999999,1291.634,17407.827,2690.577,11652.833,133900.0
3972.0,2704240.263807348,363072.4454987883,64.0,2.0,0.0,3398.0,5.557,1.0,0.0,1.0,0.0,0,7089.096,1357.525,17472.938,2622.98,11479.278,1006800.0
3973.0,2704240.4425512035,363469.2822907473,20.0,1.0,3.0,999.0,0.419,0.0,1.0,0.0,0.0,0,6888.999999999999,1557.621,17672.092,2425.88,11852.472,98400.0
3975.0,2704362.1689638845,363342.51428436936,59.0,2.0,3.0,1392.0,1.18,0.0,0.0,0.0,0.0,0,6798.734999999999,1647.886,17770.956,2362.262,11807.582,146300.0
3976.0,2704540.334565596,363388.7056446145,45.0,1.0,2.0,768.0,2.26,0.0,0.0,0.0,0.0,0,6594.196999999999,1852.424,17975.538,2168.056,11861.195,75500.0
3978.0,2705474.052122192,363272.9569225685,32.0,1.73,0.0,3744.0,4.51,1.0,0.0,0.0,1.0,0,5706.513999999999,2740.107,18856.309,1272.994,11899.91,1275300.0
3979.0,2705799.002456012,363220.36625030864,79.0,2.0,4.0,2348.0,3.0,1.0,0.0,0.0,0.0,0,5453.034,2993.587,19106.578,1020.04,11916.011,361800.0
3980.0,2705861.403337585,363454.38529403036,1.0,2.0,3.0,2173.0,0.504,1.0,1.0,0.0,1.0,0,5293.722,3152.899,19275.245,898.364,12146.988,314700.0
3981.0,2710593.7152793948,363432.6661565608,7.0,2.0,3.0,2208.0,0.553,1.0,1.0,1.0,0.0,0,7730.013999999999,716.607,23965.226,3376.056,13633.937,357200.0
3982.0,2705911.6725249025,363309.8525222552,7.0,2.0,3.0,2276.0,0.832,0.0,1.0,0.0,0.0,0,5221.025,3225.596,19344.69,828.866,12074.016,373200.0
3984.0,2706009.07792463,363444.5684817125,54.0,1.0,3.0,984.0,0.415,0.0,0.0,0.0,1.0,0,5147.339999999999,3299.281,19420.78,753.031,12156.744,77100.0
3986.0,2711625.203883712,363425.6014359775,13.0,2.5,3.0,2106.0,0.509,0.0,1.0,1.0,0.0,0,8091.596,355.025,24997.293,3641.623,14131.278,362900.0
