ID,COORDS_X,COORDS_Y,AGE,BATHROOMS,BEDROOMS,HOUSESIZE,LOTSIZE,NEWHOME,POSTFIRM,FIRSTROW,DISTAMEN,DISTCBD,DISTHWY,DISTPARK,PROXAMEN,AGEnorm,HOUSESIZEnorm,LOTSIZEnorm,BEDROOMSnorm,RESIDnorm,DFLOOD100,DFLOOD500,PRICE_REGR,PRICE_KRIGING
103.0,2709210.5618972783,401444.12321811647,3.0,3.0,2.0,1188.0,1.223,1.0,1.0,0,3314.811,46516.432,13293.982,27401.529,5131.8099999999995,0.9926739926739927,0.17364864864864865,0.6080137612080909,0.06666666666666667,0.5984231183373059,1.0,0.0,127700.0,37200.0
132.0,2709168.50275652,401276.84795637446,21.0,1.5,3.0,1360.0,1.017,1.0,1.0,0,3210.323,46348.938,13173.667,27309.048,5236.297999999999,0.9267399267399268,0.20270270270270271,0.5876218261596287,0.1,0.5989277939411745,1.0,0.0,119900.0,46300.0
154.0,2693211.9083224298,400998.65728607704,44.0,1.5,3.0,860.0,0.414,1.0,0.0,1,278.496,40822.766,1658.465,12657.885,8168.124999999999,0.8424908424908425,0.11824324324324324,0.48826045702502247,0.1,0.771717332658443,1.0,0.0,118700.0,108700.0
156.0,2693242.100766345,400845.5841820531,24.0,2.0,3.0,2421.0,1.686,1.0,1.0,1,342.759,40662.895,1504.1,12591.199,8103.861999999999,0.9157509157509157,0.3819256756756757,0.6435078291456506,0.1,0.7712314949137935,1.0,0.0,591400.0,288100.0
159.0,2693498.177962728,400727.3691675049,38.0,3.0,4.0,2853.0,1.403,1.0,0.0,0,635.146,40595.817,1459.91,12760.21,7811.474999999999,0.8644688644688645,0.45489864864864865,0.6231936899288912,0.13333333333333333,0.760522246163076,1.0,0.0,612600.0,333600.0
160.0,2709048.912633239,400707.95261072135,24.0,2.0,3.0,1917.0,1.977,1.0,1.0,0,2874.833,45794.931,12799.058,27032.859,5571.787999999999,0.9157509157509157,0.29679054054054055,0.6611106637021599,0.1,0.601328714850437,1.0,0.0,217400.0,69300.0
162.0,2710599.156425852,400332.7263030056,94.0,1.0,1.0,594.0,21.68,1.0,0.0,1,1615.016,46237.834,14007.28,28430.08,6831.605,0.6593406593406593,0.07331081081081081,0.9258700641364772,0.03333333333333333,0.6002116825617572,1.0,0.0,176600.0,35800.0
163.0,2694252.2500449517,400691.2279049491,25.0,2.0,3.0,1364.0,0.697,0.0,1.0,0,1334.249,40687.543,1597.123,13344.795,7112.371999999999,0.9120879120879121,0.20337837837837838,0.545850971082005,0.1,0.7282726029878159,0.0,0.0,150400.0,94000.0
164.0,2693211.606764743,400666.5367551739,27.0,2.0,4.0,2352.0,0.942,1.0,1.0,1,342.127,40483.416,1324.358,12462.926,8104.493999999999,0.9047619047619048,0.37027027027027026,0.5791524867700941,0.13333333333333333,0.7725125393357496,1.0,0.0,532900.0,277200.0
166.0,2694290.3866387387,400541.14379703556,25.0,2.0,3.0,1280.0,0.932,1.0,1.0,0,1421.598,40549.351,1463.734,13316.027,7025.022999999999,0.9120879120879121,0.1891891891891892,0.577972587523143,0.1,0.7143475645152487,0.0,0.0,130600.0,90500.0
168.0,2708979.1246202593,400460.2732091277,46.0,1.0,3.0,1324.0,1.316,0.0,0.0,0,2796.998,45511.905,12574.475,26851.268,5649.623,0.8351648351648352,0.1966216216216216,0.6161163719098625,0.1,0.632528892019877,1.0,0.0,112500.0,57500.0
171.0,2693112.8625450726,400344.6993621284,7.0,2.0,2.0,1256.0,1.283,0.0,1.0,1,334.908,40173.97,1011.579,12218.176,8111.712999999999,0.978021978021978,0.18513513513513513,0.6133087321167999,0.06666666666666667,0.8336755344543078,0.0,0.0,247200.0,179500.0
174.0,2694265.540463982,400291.9160603766,94.0,1.0,2.0,1124.0,1.398,1.0,0.0,0,1467.233,40303.627,1220.119,13180.924,6979.387999999999,0.6593406593406593,0.16283783783783784,0.6227989893665887,0.06666666666666667,0.7041623900561236,0.0,0.0,116700.0,111500.0
178.0,2694516.0549477045,400278.2334815122,24.0,1.5,3.0,1071.0,0.459,1.0,1.0,0,1708.505,40336.416,1265.247,13390.045,6738.115999999999,0.9157509157509157,0.15388513513513513,0.4996680428934361,0.1,0.6920004923836599,0.0,0.0,100000.0,62500.0
181.0,2693880.8207179853,400122.67824888154,57.0,1.5,4.0,1769.0,0.715,1.0,0.0,0,1149.382,40062.679,959.352,12758.02,7297.239,0.7948717948717949,0.2717905405405405,0.5486698195082937,0.13333333333333333,0.717124158284417,1.0,0.0,180300.0,164800.0
182.0,2694492.7416761983,400125.2191265217,26.0,2.0,4.0,1232.0,0.826,1.0,1.0,0,1731.274,40177.774,1107.075,13293.568,6715.347,0.9084249084249084,0.1810810810810811,0.5646243317970506,0.13333333333333333,0.6831450291285003,0.0,0.0,120900.0,69200.0
188.0,2694060.14247265,400036.6167925366,32.0,2.0,4.0,1970.0,0.895,1.0,0.0,0,1324.301,40017.192,924.311,12862.062,7122.32,0.8864468864468864,0.30574324324324326,0.5734940837068834,0.13333333333333333,0.7016765513625625,1.0,0.0,233600.0,144600.0
189.0,2693383.986516612,400051.69940736186,40.0,4.0,4.0,3060.0,1.187,0.0,0.0,0,694.785,39934.367,800.601,12328.077,7751.835999999999,0.8571428571428572,0.48986486486486486,0.6047106123034572,0.13333333333333333,0.7420145533998865,1.0,0.0,793800.0,315000.0
