ID,COORDS_X,COORDS_Y,AGE,HOUSESIZE,LOTSIZE,BEDROOMS,DFLOOD100,RESID,AGEnorm,HOUSESIZEnorm,LOTSIZEnorm,BEDROOMSnorm,RESIDnorm,PRICE_KRIGING
7,2486476.1707401876,672841.6519035546,40.0,2632.0,0.36,3.0,0.0,-0.005408065464422407,0.708029197080292,0.2440144309609708,0.4224032647249235,0.25,0.49837463350065253,144449.54206865333
9,2490529.838253692,673371.1580682596,35.0,1729.0,0.43,3.0,0.0,-0.015812568504676605,0.7445255474452555,0.14529353886520172,0.4483698585169612,0.25,0.48809627639540876,94131.91742425878
11,2488502.6475931695,674034.6824907965,44.0,1841.0,0.32,3.0,0.0,0.044854429957874586,0.6788321167883211,0.15753799059801027,0.4051902752004612,0.25,0.5480277380220606,95595.38745453469
25,2476936.2699619476,682608.4007277961,40.0,1510.0,0.26,3.0,0.0,-0.35204295818637377,0.708029197080292,0.12135126270908494,0.3748455469390765,0.25,0.15594240019265593,53220.552315991976
28,2486913.726233081,675544.7959481563,51.0,1806.0,0.24,2.0,0.0,0.18779527888180958,0.6277372262773723,0.1537115994315076,0.36314798556263467,0.125,0.6892355481868228,93904.98498198349
33,2478979.1404444715,681684.0535852108,56.0,1214.0,0.13,2.0,0.0,-0.33881412264057964,0.5912408759124088,0.08899092598666229,0.27354797813896126,0.125,0.16901084712377362,32336.951162608395
34,2487392.809046996,679614.0632814468,68.0,2474.0,0.41,3.0,0.0,0.18099633960810557,0.5036496350364963,0.22674100798075872,0.4414094239878807,0.25,0.6825190403899939,117037.81276412104
36,2486245.614019433,673582.5822249888,43.0,2982.0,0.38,4.0,0.0,-0.00555029696157483,0.6861313868613139,0.2822783426259976,0.4303047295509543,0.375,0.49823412644195975,168719.77804926343
41,2477772.4054431217,673364.7854680972,38.0,1244.0,0.37,3.0,0.0,0.08616840825354366,0.7226277372262774,0.09227068984366459,0.4264073919156754,0.25,0.5888408187351211,68488.22802732981
43,2480808.0865229256,682379.5892778473,77.0,1995.0,0.12,3.0,0.0,-0.4166734035374944,0.43795620437956206,0.17437411173062206,0.2618504167625194,0.25,0.09209554517039714,43129.440438799495
46,2468936.637103871,667062.8363111843,32.0,1855.0,0.34,3.0,0.0,-0.20229899474666269,0.7664233576642336,0.15906854706461135,0.414050048379471,0.25,0.3038708427749858,86977.72371014551
47,2469130.65471699,666328.8126912828,5.0,1430.0,0.37,5.0,0.0,-0.13322279758496158,0.9635036496350365,0.11260522575707882,0.4264073919156754,0.5,0.3721095485693228,104317.18755438966
48,2469067.071354044,666244.2040943399,23.0,2109.0,0.41,4.0,0.0,-0.17795570917916415,0.8321167883211679,0.18683721438723078,0.4414094239878807,0.375,0.32791898627685595,121045.882913203
49,2487345.8869922017,671527.8364911872,30.0,1596.0,0.34,3.0,0.0,0.05140296288421098,0.781021897810219,0.13075325243249153,0.414050048379471,0.25,0.5544968754399576,96533.17755070048
51,2483972.3002230963,677766.0879106999,51.0,1670.0,0.14,2.0,0.0,0.06110773691456117,0.6277372262773723,0.1388433366130972,0.28437822836347243,0.125,0.564083987166843,74069.0849029512
52,2474735.6246210793,676010.527858839,34.0,1362.0,0.3,3.0,0.0,-0.05939176654033318,0.7518248175182481,0.10517109434787363,0.39575851890317726,0.25,0.4450454398453458,68350.15313809211
