ID1,BATHROOM_1,AGE_1,TOT_SQ_F_1,TOTAL_AC_1,NEWHOME_1,POSTFIRM_1,DFLOOD_A_1,DFLOOD_X_1,FIRSTROW_1,PROXAMEN_1,DISTAMEN_1,DISTCBD1_1,DISTHWY_1,DISTPARK_1,PRICE
6313.0,1.5,20.0,896.0,0.97,1.0,1.0,0.0,0.0,0,7808.507,638.114,24416.136,6401.454,9426.703,98100.0
6314.0,1.5,42.0,2678.0,0.401,1.0,0.0,0.0,0.0,1,8315.502999999999,131.118,22413.0,5285.017,8368.417,805600.0
6316.0,1.0,54.0,1006.0,0.466,0.0,0.0,1.0,0.0,0,7651.5199999999995,795.101,28031.702,9290.083,10094.585,91500.0
6317.0,2.0,69.0,1904.0,0.9,0.0,0.0,0.0,0.0,1,8299.039999999999,147.581,22299.355,5230.521,8323.959,430400.0
6318.0,1.5,64.0,2056.0,0.514,1.0,0.0,1.0,0.0,1,8279.842999999999,166.778,22226.386,5188.985,8300.477,403900.0
6320.0,1.5,44.0,1634.0,0.494,1.0,0.0,1.0,0.0,1,8273.335,173.286,22082.188,5132.603,8220.553,267300.0
6322.0,1.5,20.0,896.0,0.97,0.0,1.0,0.0,0.0,0,7817.170999999999,629.45,24428.04,6417.07,9419.317,104200.0
6323.0,3.0,50.0,2538.0,0.895,1.0,0.0,1.0,0.0,1,8263.232999999998,183.388,21940.308,5071.723,8152.802,690800.0
6325.0,1.5,84.0,840.0,0.523,1.0,0.0,1.0,0.0,1,8288.864,157.757,21456.01,4887.692,7938.076,135400.0
6327.0,1.5,20.0,896.0,0.97,0.0,1.0,0.0,0.0,0,7800.523999999999,646.097,24518.368,6481.171,9444.839,103900.0
6328.0,3.0,11.0,3594.0,0.146,1.0,1.0,0.0,1.0,0,7880.746999999999,565.874,24296.822,6352.622,9343.465,1377300.0
6329.0,3.0,16.0,2848.0,0.231,1.0,1.0,1.0,0.0,1,8266.226999999999,180.394,21686.745,4970.67,8037.087,1010400.0
6330.0,4.0,55.0,2582.0,0.315,0.0,0.0,1.0,0.0,1,8269.969,176.652,21622.314,4944.21,8011.276,776700.0
